"","Sex","Age","Height","Weight","NOC","Medal","Sport","cluster"
"120090","M",25,182,90,"BUL","Gold","Shooting",2
"120094","M",33,182,90,"BUL","Bronze","Shooting",2
"120097","M",37,182,90,"BUL","Gold","Shooting",2
"120103","M",20,175,68,"JPN","Silver","Athletics",1
"120104","M",23,160,67,"URS","Gold","Weightlifting",3
"120109","M",25,194,115,"HUN","Gold","Water Polo",2
"120122","M",26,179,87,"TUR","Gold","Wrestling",1
"120126","F",27,166,52,"GER","Bronze","Athletics",3
"120128","M",24,177,79,"GDR","Gold","Football",1
"120130","F",18,159,47,"GDR","Bronze","Gymnastics",3
"120137","M",26,178,75,"URS","Silver","Boxing",1
"120138","M",30,178,75,"URS","Silver","Boxing",1
"120142","M",25,199,105,"EUN","Gold","Handball",2
"120147","F",25,174,58,"RUS","Gold","Synchronized Swimming",3
"120148","F",25,174,58,"RUS","Gold","Synchronized Swimming",3
"120149","F",29,174,58,"RUS","Gold","Synchronized Swimming",3
"120153","F",28,172,73,"CAN","Bronze","Rugby Sevens",1
"120192","M",32,178,63,"HUN","Silver","Athletics",1
"120195","M",24,188,115,"HUN","Gold","Athletics",2
"120209","M",30,184,103,"HUN","Bronze","Wrestling",2
"120211","M",22,198,112,"HUN","Gold","Water Polo",2
"120212","M",26,198,112,"HUN","Gold","Water Polo",2
"120213","M",30,198,112,"HUN","Gold","Water Polo",2
"120224","M",21,190,89,"HUN","Bronze","Water Polo",2
"120259","M",21,175,73,"HUN","Bronze","Canoeing",1
"120266","M",26,187,80,"FRG","Silver","Cycling",1
"120290","M",26,180,73,"BRA","Silver","Football",1
"120292","M",22,164,60,"BRA","Bronze","Judo",3
"120310","M",21,178,73,"JPN","Gold","Swimming",1
"120311","M",21,178,73,"JPN","Gold","Swimming",1
"120312","M",21,178,73,"JPN","Bronze","Swimming",1
"120313","M",25,178,73,"JPN","Gold","Swimming",1
"120314","M",25,178,73,"JPN","Gold","Swimming",1
"120315","M",25,178,73,"JPN","Bronze","Swimming",1
"120318","M",29,178,73,"JPN","Silver","Swimming",1
"120349","F",22,161,52,"JPN","Silver","Synchronized Swimming",3
"120355","M",21,168,61,"JPN","Silver","Speed Skating",3
"120401","M",28,172,76,"FRG","Gold","Hockey",1
"120403","M",17,172,60,"KEN","Bronze","Athletics",3
"120408","M",26,186,77,"KEN","Bronze","Athletics",1
"120419","M",25,172,68,"FIN","Silver","Cross Country Skiing",1
"120421","M",33,172,68,"FIN","Silver","Cross Country Skiing",1
"120424","M",29,182,65,"FIN","Silver","Ski Jumping",1
"120434","M",19,172,66,"USA","Silver","Athletics",3
"120435","M",19,172,66,"USA","Gold","Athletics",3
"120447","F",24,157,55.5,"FIN","Silver","Cross Country Skiing",3
"120448","F",28,157,55.5,"FIN","Gold","Cross Country Skiing",3
"120449","F",28,157,55.5,"FIN","Silver","Cross Country Skiing",3
"120450","F",28,157,55.5,"FIN","Silver","Cross Country Skiing",3
"120452","F",32,157,55.5,"FIN","Bronze","Cross Country Skiing",3
"120460","F",24,162,42,"KEN","Silver","Athletics",3
"120487","M",36,171,72,"URS","Bronze","Equestrianism",1
"120488","M",40,171,72,"URS","Gold","Equestrianism",1
"120489","M",40,171,72,"URS","Silver","Equestrianism",1
"120491","M",44,171,72,"URS","Gold","Equestrianism",1
"120497","F",25,178,67,"DEN","Gold","Handball",1
"120498","F",29,178,67,"DEN","Gold","Handball",1
"120499","M",23,180,65,"FIN","Bronze","Boxing",1
"120501","M",28,182,79,"SWE","Bronze","Curling",1
"120504","F",22,172,61,"NOR","Silver","Snowboarding",3
"120511","M",24,189,94,"SWE","Gold","Ice Hockey",2
"120536","M",23,180,88,"NOR","Gold","Alpine Skiing",1
"120537","M",27,180,88,"NOR","Silver","Alpine Skiing",1
"120540","M",27,180,88,"NOR","Silver","Alpine Skiing",1
"120541","M",31,180,88,"NOR","Silver","Alpine Skiing",1
"120543","M",31,180,88,"NOR","Bronze","Alpine Skiing",1
"120556","F",21,170,72,"DEN","Gold","Handball",1
"120557","F",25,170,72,"DEN","Gold","Handball",1
"120559","M",25,182,75,"DEN","Silver","Sailing",1
"120570","M",21,184,83,"GDR","Gold","Shooting",1
"120581","M",27,181,76,"NED","Bronze","Hockey",1
"120598","M",26,181,75,"FRG","Gold","Hockey",1
"120609","M",22,183,79,"AUT","Gold","Alpine Skiing",1
"120623","M",22,175,76,"TCH","Bronze","Ice Hockey",1
"120624","M",26,175,76,"TCH","Silver","Ice Hockey",1
"120626","F",22,170,58,"GDR","Bronze","Athletics",3
"120630","M",28,182,70,"AUT","Bronze","Nordic Combined",1
"120653","M",26,182,79,"TCH","Bronze","Cycling",1
"120659","M",23,195,98,"USA","Silver","Water Polo",2
"120665","F",22,173,71,"CAN","Bronze","Speed Skating",1
"120667","F",26,173,71,"CAN","Silver","Speed Skating",1
"120668","F",26,173,71,"CAN","Gold","Speed Skating",1
"120669","F",26,173,71,"CAN","Bronze","Speed Skating",1
"120670","F",26,173,71,"CAN","Bronze","Speed Skating",1
"120671","F",26,173,71,"CAN","Silver","Speed Skating",1
"120677","F",23,170,60,"POL","Bronze","Archery",3
"120679","M",27,190,98,"GDR","Gold","Rowing",2
"120709","M",30,184,77,"GDR","Silver","Cross Country Skiing",1
"120717","M",28,171,65,"FRA","Bronze","Canoeing",3
"120726","M",25,187,85,"NED","Silver","Hockey",2
"120731","M",22,196,91,"GDR","Gold","Rowing",2
"120737","F",15,180,64,"GDR","Silver","Swimming",1
"120755","F",32,172,71,"GER","Gold","Hockey",1
"120764","M",28,187,82,"GER","Gold","Shooting",1
"120771","F",29,178,84,"HUN","Bronze","Athletics",1
"120773","F",35,172,59,"NED","Bronze","Speed Skating",3
"120774","M",23,174,65,"GER","Gold","Fencing",3
"120776","M",26,174,65,"GER","Bronze","Fencing",3
"120778","F",37,169,69,"CAN","Bronze","Curling",3
"120800","M",22,185,80,"GER","Bronze","Swimming",1
"120801","M",22,185,80,"GER","Silver","Swimming",1
"120802","M",22,185,80,"GER","Silver","Swimming",1
